"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2013,"Sr","6-7","Solomon Hill","Arizona","P12","35","82.1","4.3","6.6","113.7","21.4","54.1","57.9","6.6",12.8,16.8,18.7,1.8,2.1,35.9,"95-124",0.766,"101-199",0.508,"57-146",0.39,2013,23,"IND","University of Arizona",6,305,6912,1805,997,471,0.395,0.329,0.809,22.7,5.9,3.3,1.5,9.2,0.064,-0.7,2.3
2013,"Sr","6-7","Solomon Hill","Conf. games:","Conf. games:","18","86.2","4.1","5.5","109.0","21.6","55.2","58.5","5.6",13,15.1,20.8,1.5,2,29.8,"44-57",0.772,"59-113",0.522,"31-78",0.397,2013,23,"IND","University of Arizona",6,305,6912,1805,997,471,0.395,0.329,0.809,22.7,5.9,3.3,1.5,9.2,0.064,-0.7,2.3
2013,"Sr","6-7","Solomon Hill","Top 100 quality games:","Top 100:","24","87.0","4.3","5.7","109.0","21.6","51.7","55.2","6.6",11.8,16,18.9,2,2,29.9,"59-78",0.756,"75-152",0.493,"40-109",0.367,2013,23,"IND","University of Arizona",6,305,6912,1805,997,471,0.395,0.329,0.809,22.7,5.9,3.3,1.5,9.2,0.064,-0.7,2.3
2013,"Sr","6-7","Solomon Hill","Top 50 quality games:","Top 50:","9","84.4","5.6","6.3","114.4","22.5","50.5","53.9","6.9",11.1,19.7,12.9,1.7,1.2,35.4,"24-34",0.706,"35-60",0.583,"9-36",0.25,2013,23,"IND","University of Arizona",6,305,6912,1805,997,471,0.395,0.329,0.809,22.7,5.9,3.3,1.5,9.2,0.064,-0.7,2.3
2013,"Fr","6-10","Grant Jerrett","Arizona","P12","34","43.1","1.6","5.5","114.3","14.7","51.3","53.5","7.6",16.4,5.7,12.8,5.8,1.6,14.3,"18-22",0.818,"31-75",0.413,"32-79",0.405,2013,40,"POR","University of Arizona",1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-8.4,-0.1
2013,"Fr","6-10","Grant Jerrett","Conf. games:","Conf. games:","17","43.7","1.5","4.0","112.6","13.5","48.7","49.8","7.7",13.4,6.1,9.8,6.2,0.9,6.4,"4-5",0.8,"11-34",0.324,"18-44",0.409,2013,40,"POR","University of Arizona",1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-8.4,-0.1
2013,"Fr","6-10","Grant Jerrett","Top 100 quality games:","Top 100:","23","43.9","1.6","4.9","109.6","14.5","50.0","52.2","7.7",16.5,4.6,14.8,6.1,1.3,14.6,"12-15",0.8,"20-47",0.426,"21-56",0.375,2013,40,"POR","University of Arizona",1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-8.4,-0.1
2013,"Fr","6-10","Grant Jerrett","Top 50 quality games:","Top 50:","9","48.3","2.6","6.5","120.3","14.5","63.6","66.4","8.2",17.2,3.4,19.9,4.7,0.7,39.4,"10-13",0.769,"6-12",0.5,"10-21",0.476,2013,40,"POR","University of Arizona",1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-8.4,-0.1
2013,"Sr","6-6","Carrick Felix","Arizona St.","P12","35","86.7","3.7","5.7","110.3","20.7","56.9","58.6","7.1",18.5,9.6,16.1,3.2,2.4,32.3,"81-122",0.664,"137-239",0.573,"52-139",0.374,2013,33,"CLE","Arizona State University",1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-4.7,0
2013,"Sr","6-6","Carrick Felix","Conf. games:","Conf. games:","18","91.6","3.9","5.7","107.0","20.5","53.1","54.7","6.7",20.3,8.1,13.8,2.2,2.3,35.7,"43-70",0.614,"62-116",0.534,"28-80",0.35,2013,33,"CLE","Arizona State University",1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-4.7,0
2013,"Sr","6-6","Carrick Felix","Top 100 quality games:","Top 100:","20","90.6","3.7","4.0","105.0","20.7","54.1","56.0","6.2",18.2,6.4,16.1,2.2,1.8,33.2,"47-73",0.644,"65-126",0.516,"36-94",0.383,2013,33,"CLE","Arizona State University",1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-4.7,0
2013,"Sr","6-6","Carrick Felix","Top 50 quality games:","Top 50:","9","94.1","3.2","1.7","99.3","20.7","53.1","56.0","5.8",16.3,6.1,20.3,2.6,1.5,36.7,"25-36",0.694,"28-55",0.509,"16-43",0.372,2013,33,"CLE","Arizona State University",1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-4.7,0
2013,"Sr","5-10","Pierre Jackson","Baylor","B12","36","86.3","6.2","8.9","114.3","30.6","51.4","57.4","2.2",9.6,41.5,18.6,0,2.5,47.4,"192-240",0.8,"128-261",0.49,"88-245",0.359,2013,42,"PHI","Baylor University",1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1
2013,"Sr","5-10","Pierre Jackson","Conf. games:","Conf. games:","18","85.9","5.8","7.6","109.8","31.2","51.4","56.2","2.5",8.9,44.7,20.3,0,1.9,43.2,"84-111",0.757,"63-126",0.5,"46-131",0.351,2013,42,"PHI","Baylor University",1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1
2013,"Sr","5-10","Pierre Jackson","Top 100 quality games:","Top 100:","22","92.1","6.6","7.9","109.6","31.3","48.6","55.5","1.9",9.8,43.3,19.4,0,2.4,49.2,"131-163",0.804,"83-176",0.472,"52-155",0.335,2013,42,"PHI","Baylor University",1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1
