,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2008,Sr,7-0,Chris Daniels,Texas A&M Corpus Chris,Slnd,29,68.5,2.7,4.0,111.6,21.5,56.8,59.2,6.9,18.4,14.9,20.0,6.9,0.9,37.7,67-97,.691,98-169,.580,32-88,.364,,,,,,,,
1,,,,,Conf. games:,Conf. games:,16,63.8,2.7,5.1,113.7,21.2,56.5,59.7,5.7,21.0,15.1,17.6,7.5,1.0,50.4,43-62,.694,50-84,.595,13-39,.333,,,,,,,,
2,,,,,Top 100 quality games:,Top 100:,6,69.4,2.0,-0.4,99.8,20.2,49.0,51.2,5.9,14.9,20.2,23.3,7.0,0.4,25.0,8-12,.667,16-28,.571,5-20,.250,,,,,,,,
3,,,,,Top 50 quality games:,Top 50:,3,64.2,0.0,-1.1,78.3,20.0,36.1,40.8,7.9,15.6,28.2,31.5,9.8,0.8,33.3,4-6,.667,2-7,.286,3-11,.273,,,,,,,,
4,2008,Sr,6-5,William Bullard,Texas A&M Corpus Chris,Slnd,23,31.2,0.0,-5.0,89.4,16.9,39.8,43.9,7.0,7.8,12.2,25.6,0.3,1.6,21.5,16-20,.800,16-43,.372,14-50,.280,,,,,,,,
5,,,,,Conf. games:,Conf. games:,15,39.5,-0.0,-5.0,87.1,18.7,40.0,43.7,7.9,7.6,12.6,25.9,0.4,2.1,20.0,11-14,.786,13-34,.382,10-36,.278,,,,,,,,
6,,,,,Top 100 quality games:,Top 100:,4,27.8,0.3,-5.9,87.1,17.6,38.2,42.3,6.6,9.7,12.9,25.6,0.0,0.9,23.5,3-4,.750,2-7,.286,3-10,.300,,,,,,,,
7,,,,,Top 50 quality games:,Top 50:,2,29.2,1.0,-6.2,87.3,24.0,42.3,45.1,5.8,6.2,17.9,21.7,0.0,0.0,23.1,2-3,.667,1-4,.250,3-9,.333,,,,,,,,
8,2008,Jr,5-11,Matt Slatnick,Texas A&M Corpus Chris,Slnd,20,11.4,-0.2,-3.2,84.9,15.1,34.4,38.2,1.7,6.0,16.7,23.2,0.0,2.2,21.9,5-7,.714,2-9,.222,6-23,.261,,,,,,,,
9,,,,,Conf. games:,Conf. games:,12,11.1,0.2,-1.4,107.5,13.5,46.7,50.3,1.6,4.8,17.2,18.3,0.0,0.8,26.7,3-4,.750,1-4,.250,4-11,.364,,,,,,,,
10,,,,,Top 100 quality games:,Top 100:,2,1.2,-0.4,-26.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
11,,,,,Top 50 quality games:,Top 50:,1,0.8,-0.3,-63.1,0.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
12,2008,Fr,6-7,Isaiah Jackson,Texas A&M Corpus Chris,Slnd,23,26.3,-0.5,-5.9,78.0,16.7,37.9,46.0,4.0,9.9,5.4,33.0,2.2,1.7,51.6,24-32,.750,19-49,.388,3-13,.231,,,,,,,,
13,,,,,Conf. games:,Conf. games:,10,12.5,-1.0,-12.2,52.5,16.7,23.1,37.9,2.9,8.5,2.4,48.3,1.4,0.0,46.2,6-6,1.000,3-11,.273,0-2,.000,,,,,,,,
14,,,,,Top 100 quality games:,Top 100:,5,34.7,0.4,-1.8,90.7,16.2,44.7,49.1,5.3,12.9,8.1,26.7,2.3,2.2,26.3,4-5,.800,7-15,.467,1-4,.250,,,,,,,,
