,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2011,Sr,6-7,Demond Watt,Texas A&M Corpus Chris,Slnd,28,83.9,3.1,2.3,106.1,24.1,55.4,58.9,13.1,11.1,10.8,20.8,4.0,1.9,75.6,127-195,.651,143-257,.556,0-1,.000,,,,
1,,,,,Conf. games:,Conf. games:,16,83.8,3.0,2.9,108.9,23.2,55.9,60.2,12.4,17.9,7.0,18.8,3.9,1.9,76.9,75-110,.682,80-142,.563,0-1,.000,,,,
2,,,,,Top 100 quality games:,Top 100:,6,82.1,2.2,-1.2,93.0,24.1,43.6,49.9,13.4,0.6,14.0,22.6,1.4,2.2,61.8,23-34,.676,24-55,.436,0-0,.000,,,,
3,,,,,Top 50 quality games:,Top 50:,2,72.5,2.2,-0.8,90.0,26.8,50.0,52.5,16.6,0.0,19.5,27.2,1.5,1.1,30.0,4-6,.667,10-20,.500,0-0,.000,,,,
4,2011,Sr,6-8,Justin Reynolds,Texas A&M Corpus Chris,Slnd,28,70.0,1.1,-1.1,93.7,22.8,51.3,53.5,6.8,15.6,13.3,24.9,3.7,1.9,38.3,56-90,.622,95-183,.519,17-52,.327,,,,
5,,,,,Conf. games:,Conf. games:,16,71.4,1.0,-0.7,93.9,22.9,49.6,52.9,6.3,23.8,14.8,24.1,4.8,1.7,40.6,36-54,.667,51-99,.515,10-34,.294,,,,
6,,,,,Top 100 quality games:,Top 100:,6,60.4,1.3,-0.5,90.8,23.4,53.4,53.8,6.8,0.9,18.3,26.3,3.1,2.9,34.1,8-15,.533,16-33,.485,5-11,.455,,,,
7,,,,,Top 50 quality games:,Top 50:,2,56.3,1.4,0.2,90.5,23.5,46.9,47.2,10.7,0.0,29.2,22.8,0.0,2.7,12.5,1-2,.500,3-11,.273,3-5,.600,,,,
8,2011,Fr,6-5,Chris Mast,Texas A&M Corpus Chris,Slnd,24,45.3,0.2,-2.9,92.2,16.6,47.2,49.1,4.9,5.8,13.9,22.7,1.0,2.1,41.3,25-45,.556,44-85,.518,5-24,.208,,,,
9,,,,,Conf. games:,Conf. games:,14,47.8,0.5,-1.9,98.5,16.8,53.4,56.2,6.1,9.4,12.3,24.4,1.1,2.0,55.9,21-33,.636,27-45,.600,3-14,.214,,,,
10,,,,,Top 100 quality games:,Top 100:,5,40.8,-0.2,-2.7,79.3,17.8,38.5,39.9,3.4,1.3,15.6,20.5,0.9,3.1,23.1,3-6,.500,7-17,.412,2-9,.222,,,,
11,,,,,Top 50 quality games:,Top 50:,1,26.3,0.3,-3.0,87.3,13.1,33.3,33.3,4.6,0.0,13.9,0.0,0.0,0.0,0.0,0-0,.000,2-4,.500,0-2,.000,,,,
12,2011,Fr,6-0,Jaamon Echols,Texas A&M Corpus Chris,Slnd,18,19.1,-0.2,-4.2,79.9,20.5,36.7,41.3,1.1,2.9,22.9,27.1,0.5,2.3,23.3,11-14,.786,13-45,.289,6-15,.400,,,,
13,,,,,Conf. games:,Conf. games:,8,11.3,-0.3,-3.8,77.8,20.0,32.5,40.2,0.0,6.9,17.9,25.0,0.0,2.5,25.0,5-5,1.000,5-16,.313,1-4,.250,,,,
14,,,,,Top 100 quality games:,Top 100:,6,38.8,0.0,-5.1,78.8,21.8,41.7,43.0,2.4,1.3,23.6,26.4,1.0,1.3,10.0,2-3,.667,8-23,.348,3-7,.429,,,,
15,,,,,Top 50 quality games:,Top 50:,2,37.5,0.5,-1.6,82.2,24.1,42.9,42.9,0.0,0.0,12.3,16.7,0.0,2.0,0.0,0-0,.000,3-10,.300,2-4,.500,,,,
16,2011,Jr,6-9,Jawan Nelson,Texas A&M Corpus Chris,Slnd,28,37.2,-0.2,-9.3,82.0,19.6,44.5,45.5,3.1,7.7,7.5,24.1,2.3,0.1,15.6,11-20,.550,36-87,.414,14-41,.341,,,,
17,,,,,Conf. games:,Conf. games:,16,39.7,-0.2,-8.4,83.6,20.0,45.5,47.8,2.5,12.3,8.3,24.7,3.5,0.2,15.6,9-12,.750,23-55,.418,8-22,.364,,,,
18,,,,,Top 100 quality games:,Top 100:,6,39.2,-1.2,-13.4,61.0,17.8,39.1,36.8,3.5,1.3,2.7,28.5,0.0,0.0,26.1,1-6,.167,6-15,.400,2-8,.250,,,,
19,,,,,Top 50 quality games:,Top 50:,2,41.3,-2.3,-13.7,41.7,18.6,27.8,22.9,0.0,0.0,0.0,19.7,0.0,0.0,44.4,0-4,.000,1-5,.200,1-4,.250,,,,
20,2011,Sr,6-1,Antonio Topps,Texas A&M Corpus Chris,Slnd,27,27.1,-0.4,-7.3,84.4,13.5,34.6,36.3,2.0,4.9,9.7,13.1,0.0,0.6,5.1,4-4,1.000,3-12,.250,16-66,.242,,,,
