,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
0,2019,Jr,6-5,Jashawn Talton,Texas A&M Corpus Chris,Slnd,28,70.2,1.4,108.1,17.4,52.0,56.4,6.6,14.3,8.4,17.1,2.1,1.1,37.2,56-73,.767,60-118,.508,28-78,.359,,,,
1,,,,,Conf. games:,Conf. games:,18,72.7,2.3,117.1,18.5,52.9,58.6,6.7,14.7,9.2,13.0,2.2,1.3,46.8,52-65,.800,45-88,.511,19-51,.373,,,,
2,,,,,Top 100 quality games:,Top 100:,2,68.8,1.0,106.9,10.4,54.5,54.5,3.5,8.1,4.4,10.5,0.0,1.1,0.0,0-0,.000,3-4,.750,2-7,.286,,,,
3,,,,,Top 50 quality games:,Top 50:,1,62.5,-0.2,87.2,12.3,50.0,50.0,0.0,6.2,10.1,19.4,0.0,2.3,0.0,0-0,.000,1-2,.500,1-3,.333,,,,
4,2019,So,6-0,Myles Smith,Texas A&M Corpus Chris,Slnd,10,23.6,1.3,94.5,23.7,43.8,48.6,5.3,8.5,14.7,19.1,0.5,0.7,21.9,19-21,.905,30-65,.462,8-31,.258,,,,
5,,,,,Conf. games:,Conf. games:,1,2.1,-1.9,49.9,24.4,37.5,37.5,0.0,0.0,12.6,49.6,0.0,0.0,0.0,0-0,.000,0-3,.000,1-1,1.000,,,,
6,,,,,Top 100 quality games:,Top 100:,2,62.5,1.0,92.1,20.5,36.1,40.2,2.0,11.9,20.0,5.9,0.0,0.0,22.2,3-4,.750,2-7,.286,3-11,.273,,,,
7,,,,,Top 50 quality games:,Top 50:,1,80.0,6.3,134.3,18.7,72.2,73.4,0.0,9.6,19.6,9.9,0.0,0.0,44.4,3-4,.750,2-3,.667,3-6,.500,,,,
8,2019,Jr,6-8,Elijah Schmidt,Texas A&M Corpus Chris,Slnd,28,58.1,0.6,102.7,15.5,60.3,59.2,9.9,18.4,8.5,24.2,3.5,1.5,42.1,26-51,.510,73-120,.608,0-1,.000,,,,
9,,,,,Conf. games:,Conf. games:,18,62.9,0.3,99.8,16.4,59.0,57.9,11.0,18.8,9.9,26.6,4.5,1.6,43.4,18-36,.500,49-82,.598,0-1,.000,,,,
10,,,,,Top 100 quality games:,Top 100:,2,60.0,2.1,110.9,16.7,50.0,53.9,8.1,15.4,5.6,7.5,2.8,0.0,50.0,4-6,.667,6-12,.500,0-0,.000,,,,
11,,,,,Top 50 quality games:,Top 50:,1,52.5,-2.8,51.7,11.9,20.0,20.0,4.8,22.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-5,.200,0-0,.000,,,,
12,2019,So,6-2,Tre Gray,Texas A&M Corpus Chris,Slnd,25,33.6,0.5,88.9,28.5,47.7,51.6,1.9,5.3,19.2,26.2,0.0,2.1,20.0,27-31,.871,38-75,.507,24-80,.300,,,,
13,,,,,Conf. games:,Conf. games:,16,39.4,0.4,89.6,28.4,47.8,51.8,0.9,4.6,18.5,26.0,0.0,2.3,22.6,22-26,.846,28-55,.509,18-60,.300,,,,
14,,,,,Top 100 quality games:,Top 100:,2,30.0,1.9,108.5,31.6,50.0,53.5,8.1,6.2,33.3,7.9,0.0,0.0,14.3,2-2,1.000,4-8,.500,2-6,.333,,,,
15,,,,,Top 50 quality games:,Top 50:,1,30.0,2.1,111.2,31.5,58.3,58.3,8.3,12.8,74.1,15.7,0.0,0.0,0.0,0-0,.000,2-4,.500,1-2,.500,,,,
16,2019,Sr,6-5,Jake Babic,Texas A&M Corpus Chris,Slnd,27,46.1,0.2,96.5,16.8,48.2,49.5,2.0,13.3,13.3,18.6,1.7,1.4,12.8,12-18,.667,20-51,.392,32-90,.356,,,,
17,,,,,Conf. games:,Conf. games:,17,44.6,-0.1,95.9,15.4,48.7,50.7,3.5,10.3,9.8,21.9,1.2,1.5,10.4,7-8,.875,12-31,.387,17-46,.370,,,,
